公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB180300A8,"MI NOTE 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191201PR,HRY-AL00A,HONOR,Android,HUAWEI,B2-G02-0415,"上线 (deployable)"
腾讯,TKMB1910008Y,VKY-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201205E7,FRD-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200503NF,POT-AL00A,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180601AY,SKR-A0,BLACKSHARK,Android,blackshark,,"新增 (deployable)"
腾讯,TKMB1909008N,VCE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050020,HRY-AL00TA,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20020035,iPhoneXS,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB200302GP,PCLM10,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200501N5,OXF-AN10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200605JJ,V1963A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19090176,SM-A6060,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20050114,SM-G6100,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB200405JP,LYA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2005025T,"MI 6X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1803045E,"VIVO X20PLUS A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB170301H6,"OPPO A59S",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2005021P,SEA-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200501J9,JEF-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190901J4,"MI 9",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1805014J,"VIVO Y66I A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB2010029Y,"iPad Air",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB180402RX,"VIVO Y67L",VIVO,Android,vivo,A1-线下箱子4,"待上线 (deployable)"
腾讯,TKMB190800E2,FRD-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200801NF,CDY-AN95,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200303E7,AGS-W09,HORNOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1806028X,"VIVO X9",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190200AX,BND-TL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201001MF,SM-T530,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB2007034G,POT-LX1,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191205L4,V1824BA,VIVO,Android,vivo,B2-G02-0407,"上线 (deployable)"
腾讯,TKMB2004005N,"PIXEL 2 XL",GOOGLE,Android,Google,B2-G03-0509,"上线 (deployable)"
腾讯,TKMB201103MT,"OPPO A37M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1704029H,DUK-AL20,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050036,"PIXEL 3 XL",GOOGLE,Android,Google,,"新增 (deployable)"
腾讯,TKMB16070727,KIW-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191002YL,BLN-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180306A4,EVA-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB18030800,"OPPO R9TM",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2004055M,RMX1931,REALME,Android,Realme,,"新增 (deployable)"
腾讯,TKMB21010253,DVC-AN20,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2007033R,SM-N910S,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190902ET,ELE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
